,Coordenada $x_{1}$,Coordenada $x_{2}$,Valor de la Función,Abscisas del Punto,Punto Completo
$X_{33}$,-10.759795628585302,-4.650439563741674,66.17017137249948,"[-10.759795628585302, -4.650439563741674]","[-10.759795628585302, -4.650439563741674, 66.17017137249948]"
$X_{34}$,1.5939522470436458,-19.76546323688919,-122.91451823163192,"[1.5939522470436458, -19.76546323688919]","[1.5939522470436458, -19.76546323688919, -122.91451823163192]"
$X_{35}$,17.84977471677572,4.727958919652217,-18.348339371210045,"[17.84977471677572, 4.727958919652217]","[17.84977471677572, 4.727958919652217, -18.348339371210045]"
$X_{36}$,-0.9931957116401726,-8.396083529002398,-19.99438310730265,"[-0.9931957116401726, -8.396083529002398]","[-0.9931957116401726, -8.396083529002398, -19.99438310730265]"
$X_{37}$,-4.984939692850352,-2.3533045624053237,-11.430117193235358,"[-4.984939692850352, -2.3533045624053237]","[-4.984939692850352, -2.3533045624053237, -11.430117193235358]"
$X_{38}$,-7.877434953743435,-9.593654365807328,-38.05895140128934,"[-7.877434953743435, -9.593654365807328]","[-7.877434953743435, -9.593654365807328, -38.05895140128934]"
$X_{39}$,16.643853884284624,16.751394916823664,44.88785379766333,"[16.643853884284624, 16.751394916823664]","[16.643853884284624, 16.751394916823664, 44.88785379766333]"
$X_{40}$,-16.29820821853936,17.391862830258262,163.8707465438252,"[-16.29820821853936, 17.391862830258262]","[-16.29820821853936, 17.391862830258262, 163.8707465438252]"
$X_{41}$,-9.513828537951134,-3.7937377177204326,50.791464415112905,"[-9.513828537951134, -3.7937377177204326]","[-9.513828537951134, -3.7937377177204326, 50.791464415112905]"
$X_{42}$,-15.593068791802667,9.182960943154082,66.6503681465134,"[-15.593068791802667, 9.182960943154082]","[-15.593068791802667, 9.182960943154082, 66.6503681465134]"
$X_{43}$,4.823956541274292,-2.1766729676396714,-30.519319250102104,"[4.823956541274292, -2.1766729676396714]","[4.823956541274292, -2.1766729676396714, -30.519319250102104]"
$X_{44}$,-2.70317742278689,-17.30234937540578,-54.53238539870615,"[-2.70317742278689, -17.30234937540578]","[-2.70317742278689, -17.30234937540578, -54.53238539870615]"
$X_{45}$,12.108211135474754,14.433846876319606,35.6547094063403,"[12.108211135474754, 14.433846876319606]","[12.108211135474754, 14.433846876319606, 35.6547094063403]"
$X_{46}$,-7.984349625363066,-6.13210351166709,-17.48256029043494,"[-7.984349625363066, -6.13210351166709]","[-7.984349625363066, -6.13210351166709, -17.48256029043494]"
$X_{47}$,-0.26246111196251576,-5.890652110740607,17.49402101694647,"[-0.26246111196251576, -5.890652110740607]","[-0.26246111196251576, -5.890652110740607, 17.49402101694647]"
$X_{48}$,-4.899655336758531,2.455591801901914,64.64408680188392,"[-4.899655336758531, 2.455591801901914]","[-4.899655336758531, 2.455591801901914, 64.64408680188392]"
$X_{49}$,5.481374361350152,-4.564437706450924,-6.318509172020654,"[5.481374361350152, -4.564437706450924]","[5.481374361350152, -4.564437706450924, -6.318509172020654]"
$X_{50}$,-4.070673135533266,9.769047916700849,84.81921364285668,"[-4.070673135533266, 9.769047916700849]","[-4.070673135533266, 9.769047916700849, 84.81921364285668]"
$X_{51}$,-13.981044573616263,1.9876804841179982,16.85145431150596,"[-13.981044573616263, 1.9876804841179982]","[-13.981044573616263, 1.9876804841179982, 16.85145431150596]"
$X_{52}$,-16.448041454003103,-8.285542676729612,20.53058141092678,"[-16.448041454003103, -8.285542676729612]","[-16.448041454003103, -8.285542676729612, 20.53058141092678]"
$X_{53}$,-4.096160557122808,4.797556248442088,63.571358732346624,"[-4.096160557122808, 4.797556248442088]","[-4.096160557122808, 4.797556248442088, 63.571358732346624]"
$X_{54}$,-2.827075019759544,1.9456221255779695,62.413347935186245,"[-2.827075019759544, 1.9456221255779695]","[-2.827075019759544, 1.9456221255779695, 62.413347935186245]"
$X_{55}$,-19.93160860335076,17.62119901070141,195.94877313064717,"[-19.93160860335076, 17.62119901070141]","[-19.93160860335076, 17.62119901070141, 195.94877313064717]"
$X_{56}$,7.699161388396178,-12.487472431781503,-121.38494508317473,"[7.699161388396178, -12.487472431781503]","[7.699161388396178, -12.487472431781503, -121.38494508317473]"
$X_{57}$,-3.984785517054842,18.12514782174047,79.27099020151377,"[-3.984785517054842, 18.12514782174047]","[-3.984785517054842, 18.12514782174047, 79.27099020151377]"
$X_{58}$,-1.6052499406369307,11.765094688053846,97.46530676527954,"[-1.6052499406369307, 11.765094688053846]","[-1.6052499406369307, 11.765094688053846, 97.46530676527954]"
$X_{59}$,17.943710304920835,-18.587623983616048,-146.32356593340194,"[17.943710304920835, -18.587623983616048]","[17.943710304920835, -18.587623983616048, -146.32356593340194]"
$X_{60}$,-4.197333173332943,-0.42235422880235163,-4.275096814920225,"[-4.197333173332943, -0.42235422880235163]","[-4.197333173332943, -0.42235422880235163, -4.275096814920225]"
$X_{61}$,5.198888333361875,-15.533107011726832,-40.10869692780231,"[5.198888333361875, -15.533107011726832]","[5.198888333361875, -15.533107011726832, -40.10869692780231]"
$X_{62}$,8.90291197624088,-18.829760710698448,-118.43989084408582,"[8.90291197624088, -18.829760710698448]","[8.90291197624088, -18.829760710698448, -118.43989084408582]"
$X_{63}$,6.861598342232554,16.968937423379707,121.92675371023479,"[6.861598342232554, 16.968937423379707]","[6.861598342232554, 16.968937423379707, 121.92675371023479]"
$X_{64}$,-16.738945067912677,-5.595346690283961,4.949713977198105,"[-16.738945067912677, -5.595346690283961]","[-16.738945067912677, -5.595346690283961, 4.949713977198105]"
$X_{65}$,-7.421277753176074,13.88916984750118,62.66367560853019,"[-7.421277753176074, 13.88916984750118]","[-7.421277753176074, 13.88916984750118, 62.66367560853019]"
$X_{66}$,6.1145549992174395,9.619933619651203,43.625925106710135,"[6.1145549992174395, 9.619933619651203]","[6.1145549992174395, 9.619933619651203, 43.625925106710135]"
$X_{67}$,-16.39497125102963,-4.398107057782532,60.92703536640366,"[-16.39497125102963, -4.398107057782532]","[-16.39497125102963, -4.398107057782532, 60.92703536640366]"
$X_{68}$,6.631139760870191,-15.24309218355346,-129.49222227380403,"[6.631139760870191, -15.24309218355346]","[6.631139760870191, -15.24309218355346, -129.49222227380403]"
$X_{69}$,-15.068678171919059,-1.4495315787627376,50.77058813039237,"[-15.068678171919059, -1.4495315787627376]","[-15.068678171919059, -1.4495315787627376, 50.77058813039237]"
$X_{70}$,14.385037371712912,0.7252058758891344,-18.015928435406668,"[14.385037371712912, 0.7252058758891344]","[14.385037371712912, 0.7252058758891344, -18.015928435406668]"
$X_{71}$,5.056401226036293,15.846644893191872,60.29059839164586,"[5.056401226036293, 15.846644893191872]","[5.056401226036293, 15.846644893191872, 60.29059839164586]"
$X_{72}$,4.5465015040590515,3.0330627936364785,27.101665822509137,"[4.5465015040590515, 3.0330627936364785]","[4.5465015040590515, 3.0330627936364785, 27.101665822509137]"
$X_{73}$,12.760422850860706,-9.84645924049374,-36.265420238141466,"[12.760422850860706, -9.84645924049374]","[12.760422850860706, -9.84645924049374, -36.265420238141466]"
$X_{74}$,1.3735540115675775,12.80958469433314,70.92994315173063,"[1.3735540115675775, 12.80958469433314]","[1.3735540115675775, 12.80958469433314, 70.92994315173063]"
$X_{75}$,8.769152011672855,9.410550950419704,46.294980764133854,"[8.769152011672855, 9.410550950419704]","[8.769152011672855, 9.410550950419704, 46.294980764133854]"
$X_{76}$,-1.7131111039749491,-12.657478232511865,-87.14082791832955,"[-1.7131111039749491, -12.657478232511865]","[-1.7131111039749491, -12.657478232511865, -87.14082791832955]"
$X_{77}$,7.241427999707497,8.215860266229686,0.9562758648489655,"[7.241427999707497, 8.215860266229686]","[7.241427999707497, 8.215860266229686, 0.9562758648489655]"
$X_{78}$,11.211884822306022,13.383681071278538,28.44664979926565,"[11.211884822306022, 13.383681071278538]","[11.211884822306022, 13.383681071278538, 28.44664979926565]"
$X_{79}$,-16.401843961891668,-2.8426839791957583,-1.2711658611923795,"[-16.401843961891668, -2.8426839791957583]","[-16.401843961891668, -2.8426839791957583, -1.2711658611923795]"
$X_{80}$,-2.863110886412951,16.36288227860259,72.10471462870036,"[-2.863110886412951, 16.36288227860259]","[-2.863110886412951, 16.36288227860259, 72.10471462870036]"
$X_{81}$,0.6591982091048756,-8.52525597574067,5.938489474391652,"[0.6591982091048756, -8.52525597574067]","[0.6591982091048756, -8.52525597574067, 5.938489474391652]"
$X_{82}$,-2.3642374954681387,4.306672479489862,16.46574774653756,"[-2.3642374954681387, 4.306672479489862]","[-2.3642374954681387, 4.306672479489862, 16.46574774653756]"
$X_{83}$,-1.998546236608636,11.61287372022477,83.2432287627571,"[-1.998546236608636, 11.61287372022477]","[-1.998546236608636, 11.61287372022477, 83.2432287627571]"
$X_{84}$,9.476301732837204,16.37054251954882,70.54365663470398,"[9.476301732837204, 16.37054251954882]","[9.476301732837204, 16.37054251954882, 70.54365663470398]"
$X_{85}$,-4.647686214582043,17.51340620566181,101.45416542727064,"[-4.647686214582043, 17.51340620566181]","[-4.647686214582043, 17.51340620566181, 101.45416542727064]"
$X_{86}$,14.975587747980683,-3.72590558488654,-7.833419932663155,"[14.975587747980683, -3.72590558488654]","[14.975587747980683, -3.72590558488654, -7.833419932663155]"
$X_{87}$,-7.219052478661027,9.11529867691533,36.02216540396275,"[-7.219052478661027, 9.11529867691533]","[-7.219052478661027, 9.11529867691533, 36.02216540396275]"
$X_{88}$,8.682049081106747,-1.8668061901977921,-47.193257224531735,"[8.682049081106747, -1.8668061901977921]","[8.682049081106747, -1.8668061901977921, -47.193257224531735]"
$X_{89}$,-14.090081819496723,-3.242287755775859,35.70786838485102,"[-14.090081819496723, -3.242287755775859]","[-14.090081819496723, -3.242287755775859, 35.70786838485102]"
$X_{90}$,-0.37945466389576055,0.7686941849012108,-9.215182139357033,"[-0.37945466389576055, 0.7686941849012108]","[-0.37945466389576055, 0.7686941849012108, -9.215182139357033]"
$X_{91}$,-6.9427924741470335,13.126804394626681,72.613992608344,"[-6.9427924741470335, 13.126804394626681]","[-6.9427924741470335, 13.126804394626681, 72.613992608344]"
$X_{92}$,-14.3712049319088,-5.260409444969287,0.5486367637136418,"[-14.3712049319088, -5.260409444969287]","[-14.3712049319088, -5.260409444969287, 0.5486367637136418]"
$X_{93}$,14.03233909635793,16.619646866364462,72.37248148593383,"[14.03233909635793, 16.619646866364462]","[14.03233909635793, 16.619646866364462, 72.37248148593383]"
$X_{94}$,-11.871731836570296,4.590008273600375,40.61276604423913,"[-11.871731836570296, 4.590008273600375]","[-11.871731836570296, 4.590008273600375, 40.61276604423913]"
$X_{95}$,0.9455230312932947,18.108898692107246,131.66168683458426,"[0.9455230312932947, 18.108898692107246]","[0.9455230312932947, 18.108898692107246, 131.66168683458426]"
$X_{96}$,13.112664883754107,-7.361674621075647,-33.63187795858996,"[13.112664883754107, -7.361674621075647]","[13.112664883754107, -7.361674621075647, -33.63187795858996]"
$X_{97}$,8.185783040038672,1.147299822087735,-16.245481641070594,"[8.185783040038672, 1.147299822087735]","[8.185783040038672, 1.147299822087735, -16.245481641070594]"
$X_{98}$,4.449669617686567,-0.9024320938095656,26.512624787492744,"[4.449669617686567, -0.9024320938095656]","[4.449669617686567, -0.9024320938095656, 26.512624787492744]"
$X_{99}$,-5.821518415162355,-19.23314078871885,-73.23686524954691,"[-5.821518415162355, -19.23314078871885]","[-5.821518415162355, -19.23314078871885, -73.23686524954691]"
$X_{100}$,10.320039435699897,9.059535204744439,8.668477830847056,"[10.320039435699897, 9.059535204744439]","[10.320039435699897, 9.059535204744439, 8.668477830847056]"
$X_{101}$,-5.782419590758021,17.808459895534035,77.89761252512184,"[-5.782419590758021, 17.808459895534035]","[-5.782419590758021, 17.808459895534035, 77.89761252512184]"
$X_{102}$,-16.314968677051862,-18.223209064238706,-67.7581133113716,"[-16.314968677051862, -18.223209064238706]","[-16.314968677051862, -18.223209064238706, -67.7581133113716]"
$X_{103}$,-4.443338784351267,-9.421054190064385,-6.914549008371672,"[-4.443338784351267, -9.421054190064385]","[-4.443338784351267, -9.421054190064385, -6.914549008371672]"
$X_{104}$,3.346004399241764,10.005524857939353,43.59297549933287,"[3.346004399241764, 10.005524857939353]","[3.346004399241764, 10.005524857939353, 43.59297549933287]"
$X_{105}$,-16.105788097124037,13.203612801771918,82.76155227840836,"[-16.105788097124037, 13.203612801771918]","[-16.105788097124037, 13.203612801771918, 82.76155227840836]"
$X_{106}$,-1.5303633802887404,-6.86996582040495,-40.82748015119358,"[-1.5303633802887404, -6.86996582040495]","[-1.5303633802887404, -6.86996582040495, -40.82748015119358]"
$X_{107}$,-9.851667432572473,-7.45696063072943,13.997642021857166,"[-9.851667432572473, -7.45696063072943]","[-9.851667432572473, -7.45696063072943, 13.997642021857166]"
$X_{108}$,17.023537014248248,2.9351969208889592,-53.02334277602961,"[17.023537014248248, 2.9351969208889592]","[17.023537014248248, 2.9351969208889592, -53.02334277602961]"
$X_{109}$,4.760745047509282,-3.396960808509899,18.722193409934,"[4.760745047509282, -3.396960808509899]","[4.760745047509282, -3.396960808509899, 18.722193409934]"
$X_{110}$,6.124512179030145,-1.631959757779189,22.939685957195305,"[6.124512179030145, -1.631959757779189]","[6.124512179030145, -1.631959757779189, 22.939685957195305]"
$X_{111}$,12.200117056968345,-4.599246209057256,-74.23159695240473,"[12.200117056968345, -4.599246209057256]","[12.200117056968345, -4.599246209057256, -74.23159695240473]"
$X_{112}$,1.8140663443257594,0.8217023978990845,12.89053711508118,"[1.8140663443257594, 0.8217023978990845]","[1.8140663443257594, 0.8217023978990845, 12.89053711508118]"
$X_{113}$,-13.170187962849557,-6.147832640421553,47.835156355628754,"[-13.170187962849557, -6.147832640421553]","[-13.170187962849557, -6.147832640421553, 47.835156355628754]"
$X_{114}$,12.320390383919445,-9.607085391642931,-97.72853195227603,"[12.320390383919445, -9.607085391642931]","[12.320390383919445, -9.607085391642931, -97.72853195227603]"
$X_{115}$,8.678400903220066,3.9891900135447784,-33.43527456139613,"[8.678400903220066, 3.9891900135447784]","[8.678400903220066, 3.9891900135447784, -33.43527456139613]"
$X_{116}$,-2.524779962845912,7.8383585210918625,30.24498464197828,"[-2.524779962845912, 7.8383585210918625]","[-2.524779962845912, 7.8383585210918625, 30.24498464197828]"
$X_{117}$,-17.141036142566364,-9.837117599646845,-35.03567757874494,"[-17.141036142566364, -9.837117599646845]","[-17.141036142566364, -9.837117599646845, -35.03567757874494]"
$X_{118}$,-14.389950203584965,2.5929444624597906,21.538092324106707,"[-14.389950203584965, 2.5929444624597906]","[-14.389950203584965, 2.5929444624597906, 21.538092324106707]"
$X_{119}$,-4.921166067107347,12.566918092866658,62.07323131124764,"[-4.921166067107347, 12.566918092866658]","[-4.921166067107347, 12.566918092866658, 62.07323131124764]"
$X_{120}$,-12.278417875332712,13.822050689952434,135.853340466821,"[-12.278417875332712, 13.822050689952434]","[-12.278417875332712, 13.822050689952434, 135.853340466821]"
$X_{121}$,10.745862004672286,-9.566064211413735,-75.32867876678671,"[10.745862004672286, -9.566064211413735]","[10.745862004672286, -9.566064211413735, -75.32867876678671]"
$X_{122}$,-7.188206440491815,3.2025819075200985,36.12842937616462,"[-7.188206440491815, 3.2025819075200985]","[-7.188206440491815, 3.2025819075200985, 36.12842937616462]"
$X_{123}$,10.434375321093327,8.51382327050058,68.39387713732592,"[10.434375321093327, 8.51382327050058]","[10.434375321093327, 8.51382327050058, 68.39387713732592]"
$X_{124}$,-10.306422224936158,-16.58131538769366,-81.11107461148404,"[-10.306422224936158, -16.58131538769366]","[-10.306422224936158, -16.58131538769366, -81.11107461148404]"
$X_{125}$,-7.600098785282023,-15.639063767617053,-89.71986473154196,"[-7.600098785282023, -15.639063767617053]","[-7.600098785282023, -15.639063767617053, -89.71986473154196]"
$X_{126}$,0.472887198665525,-12.40273783561063,-76.06138001924657,"[0.472887198665525, -12.40273783561063]","[0.472887198665525, -12.40273783561063, -76.06138001924657]"
$X_{127}$,14.056112559699649,-6.181698917273092,-111.25689188937528,"[14.056112559699649, -6.181698917273092]","[14.056112559699649, -6.181698917273092, -111.25689188937528]"
$X_{128}$,-11.802605219519279,18.681615294571777,154.26431463710432,"[-11.802605219519279, 18.681615294571777]","[-11.802605219519279, 18.681615294571777, 154.26431463710432]"
$X_{129}$,2.2773003242757106,12.627010289611064,18.30725598683363,"[2.2773003242757106, 12.627010289611064]","[2.2773003242757106, 12.627010289611064, 18.30725598683363]"
$X_{130}$,8.470871841229808,-17.055207987393768,-132.83310179686688,"[8.470871841229808, -17.055207987393768]","[8.470871841229808, -17.055207987393768, -132.83310179686688]"
$X_{131}$,8.178946718695691,-0.17450963747510784,0.7169428629495584,"[8.178946718695691, -0.17450963747510784]","[8.178946718695691, -0.17450963747510784, 0.7169428629495584]"
$X_{132}$,-15.421323489499418,13.77605405927796,99.15136199098784,"[-15.421323489499418, 13.77605405927796]","[-15.421323489499418, 13.77605405927796, 99.15136199098784]"
$X_{133}$,-6.373760381791875,-14.212172183056374,-86.48253660623817,"[-6.373760381791875, -14.212172183056374]","[-6.373760381791875, -14.212172183056374, -86.48253660623817]"
$X_{134}$,-11.674906253761733,-16.762394514763002,-91.27502888046715,"[-11.674906253761733, -16.762394514763002]","[-11.674906253761733, -16.762394514763002, -91.27502888046715]"
$X_{135}$,18.51494109352958,-0.4034362942252834,-83.40149883819882,"[18.51494109352958, -0.4034362942252834]","[18.51494109352958, -0.4034362942252834, -83.40149883819882]"
$X_{136}$,-1.6161465840062021,1.1042787786516612,36.33076973827654,"[-1.6161465840062021, 1.1042787786516612]","[-1.6161465840062021, 1.1042787786516612, 36.33076973827654]"
$X_{137}$,-10.950752159173472,-5.184176690203341,53.560761176739845,"[-10.950752159173472, -5.184176690203341]","[-10.950752159173472, -5.184176690203341, 53.560761176739845]"
$X_{138}$,14.999893198026925,4.154580137642874,-47.481599913844875,"[14.999893198026925, 4.154580137642874]","[14.999893198026925, 4.154580137642874, -47.481599913844875]"
$X_{139}$,16.851831730757247,6.799711444913612,39.39770396527177,"[16.851831730757247, 6.799711444913612]","[16.851831730757247, 6.799711444913612, 39.39770396527177]"
$X_{140}$,-18.16045652007486,-0.5988526674603349,55.99351819661669,"[-18.16045652007486, -0.5988526674603349]","[-18.16045652007486, -0.5988526674603349, 55.99351819661669]"
$X_{141}$,-1.99121689402849,18.25109915811266,155.41840549527547,"[-1.99121689402849, 18.25109915811266]","[-1.99121689402849, 18.25109915811266, 155.41840549527547]"
$X_{142}$,5.620500717770341,5.135129708241223,29.63385388294752,"[5.620500717770341, 5.135129708241223]","[5.620500717770341, 5.135129708241223, 29.63385388294752]"
$X_{143}$,-8.744893626556763,-6.036660531809943,3.482715390214252,"[-8.744893626556763, -6.036660531809943]","[-8.744893626556763, -6.036660531809943, 3.482715390214252]"
$X_{144}$,10.206599585150574,-17.57428110099688,-117.34898576224121,"[10.206599585150574, -17.57428110099688]","[10.206599585150574, -17.57428110099688, -117.34898576224121]"
$X_{145}$,1.5724277984759567,12.441127773428192,62.63518765367017,"[1.5724277984759567, 12.441127773428192]","[1.5724277984759567, 12.441127773428192, 62.63518765367017]"
$X_{146}$,-10.46525267895198,-6.021895678573074,22.806276301339246,"[-10.46525267895198, -6.021895678573074]","[-10.46525267895198, -6.021895678573074, 22.806276301339246]"
$X_{147}$,6.707666043730395,-6.640861318909668,-64.41793428231043,"[6.707666043730395, -6.640861318909668]","[6.707666043730395, -6.640861318909668, -64.41793428231043]"
$X_{148}$,-9.127868968448878,4.186712298906663,23.16464014878121,"[-9.127868968448878, 4.186712298906663]","[-9.127868968448878, 4.186712298906663, 23.16464014878121]"
$X_{149}$,-17.592935808079698,-4.093714385063251,3.238318316594196,"[-17.592935808079698, -4.093714385063251]","[-17.592935808079698, -4.093714385063251, 3.238318316594196]"
$X_{150}$,-16.848071249099085,-7.814403389097237,51.80536396593425,"[-16.848071249099085, -7.814403389097237]","[-16.848071249099085, -7.814403389097237, 51.80536396593425]"
$X_{151}$,6.348567666753276,-0.2342545724551286,-6.228270994042994,"[6.348567666753276, -0.2342545724551286]","[6.348567666753276, -0.2342545724551286, -6.228270994042994]"
$X_{152}$,-11.03834598812934,6.980869188349082,31.83707247020073,"[-11.03834598812934, 6.980869188349082]","[-11.03834598812934, 6.980869188349082, 31.83707247020073]"
$X_{153}$,-5.193318396141397,-16.75447577129308,-85.3939717467526,"[-5.193318396141397, -16.75447577129308]","[-5.193318396141397, -16.75447577129308, -85.3939717467526]"
$X_{154}$,4.689596485152432,7.307323715772128,-4.60751789493257,"[4.689596485152432, 7.307323715772128]","[4.689596485152432, 7.307323715772128, -4.60751789493257]"
$X_{155}$,6.230133060619725,1.1716239335734144,28.96260391443159,"[6.230133060619725, 1.1716239335734144]","[6.230133060619725, 1.1716239335734144, 28.96260391443159]"
$X_{156}$,-12.019223532372498,18.29603946413974,165.55323448985894,"[-12.019223532372498, 18.29603946413974]","[-12.019223532372498, 18.29603946413974, 165.55323448985894]"
$X_{157}$,7.563706955024998,15.019668127592503,78.92699882678518,"[7.563706955024998, 15.019668127592503]","[7.563706955024998, 15.019668127592503, 78.92699882678518]"
$X_{158}$,-10.841405926966313,-0.5509601562277169,14.961859524736795,"[-10.841405926966313, -0.5509601562277169]","[-10.841405926966313, -0.5509601562277169, 14.961859524736795]"
$X_{159}$,-0.6951820205190451,10.956560466758852,45.37175961543269,"[-0.6951820205190451, 10.956560466758852]","[-0.6951820205190451, 10.956560466758852, 45.37175961543269]"
$X_{160}$,18.409498559810594,-1.1036237360548462,-8.154988790010734,"[18.409498559810594, -1.1036237360548462]","[18.409498559810594, -1.1036237360548462, -8.154988790010734]"
$X_{161}$,-15.822663511214511,-9.451652033189685,54.32168903555926,"[-15.822663511214511, -9.451652033189685]","[-15.822663511214511, -9.451652033189685, 54.32168903555926]"
$X_{162}$,6.8428363980819995,-15.601101955594041,-71.74837759052093,"[6.8428363980819995, -15.601101955594041]","[6.8428363980819995, -15.601101955594041, -71.74837759052093]"
$X_{163}$,11.41641981287906,0.5739140851831763,3.6089669823111734,"[11.41641981287906, 0.5739140851831763]","[11.41641981287906, 0.5739140851831763, 3.6089669823111734]"
$X_{164}$,-7.226900473935629,11.994197846782711,52.28017426917035,"[-7.226900473935629, 11.994197846782711]","[-7.226900473935629, 11.994197846782711, 52.28017426917035]"
